u,v,key,osmid,oneway,name,highway,reversed,length,lanes,geometry,service,access
345570624,5822714324,0,484580805,False,,unclassified,False,106.94531948588099,,"LINESTRING (135.4975592 34.7082442, 135.4975171 34.7082782, 135.4973824 34.7083805, 135.4971355 34.708568, 135.496812 34.7088229, 135.4967991 34.70888, 135.4967869 34.7089389)",,
365926459,2448097483,0,1011009013,False,,tertiary,True,12.629423578379724,,"LINESTRING (135.4968213 34.7011223, 135.4967549 34.7012219)",,
365926459,413290007,0,1011009011,True,市道南北線,primary,False,112.86483985788354,3,"LINESTRING (135.4968213 34.7011223, 135.4966384 34.7010414, 135.4959569 34.7007125, 135.4957411 34.7006326)",,
365926459,365926460,0,1011009012,False,,tertiary,False,86.55295697198882,2,"LINESTRING (135.4968213 34.7011223, 135.4968823 34.7010043, 135.4972259 34.7005265, 135.4972953 34.7004504)",,
365926460,1843870149,0,44394396,False,,tertiary,True,142.75272480834062,2,"LINESTRING (135.4972953 34.7004504, 135.4971552 34.7003993, 135.4967216 34.7001825, 135.4966484 34.7001338, 135.4966032 34.7000924, 135.4965627 34.7000309, 135.4965381 34.6999438, 135.4965303 34.6998095, 135.4965159 34.6995597, 135.4965093 34.6994963)",,
365926460,3499801010,0,"[610936146, 878029451, 610936149]",False,,tertiary,False,183.93816230379025,2,"LINESTRING (135.4972953 34.7004504, 135.4974589 34.7005298, 135.4976128 34.7006095, 135.4977658 34.7007019, 135.4982817 34.7009592, 135.4984665 34.7010505, 135.4987879 34.7012134, 135.4988243 34.7012322, 135.4989009 34.7013027, 135.4989446 34.7013728)",,
365926460,365926461,0,987705850,True,,unclassified,False,78.85688745181713,2,"LINESTRING (135.4972953 34.7004504, 135.4974744 34.7004257, 135.4979179 34.7001703, 135.4979982 34.7000765)",,
365926460,365926459,0,1011009012,False,,tertiary,True,86.55295697198882,2,"LINESTRING (135.4972953 34.7004504, 135.4972259 34.7005265, 135.4968823 34.7010043, 135.4968213 34.7011223)",,
365926461,1833824138,0,32538143,True,,tertiary,False,151.09824818703066,2,"LINESTRING (135.4979982 34.7000765, 135.4981158 34.7001039, 135.4986053 34.700218, 135.4994655 34.7004138, 135.4995898 34.7004429)",,
365926461,365926462,0,878029452,True,,tertiary,False,76.89546032591824,2,"LINESTRING (135.4979982 34.7000765, 135.4980306 34.7000193, 135.4983056 34.6995835, 135.4983725 34.6994575)",,
365926462,1843870146,0,173603450,False,,tertiary,False,100.54174747239276,2,"LINESTRING (135.4983725 34.6994575, 135.4982792 34.6994602, 135.4976664 34.6994578, 135.4973661 34.6994574, 135.4972728 34.6994556)",,
365926462,1014935960,0,1011009035,True,樋之筋,tertiary,False,132.21016130050106,2,"LINESTRING (135.4983725 34.6994575, 135.4984521 34.6993324, 135.4987747 34.6984876, 135.4987954 34.6984335, 135.498826 34.6983309)",,
365926471,1673338212,0,32538144,True,御堂筋,trunk,False,97.87909895651791,5,"LINESTRING (135.5001 34.6995285, 135.5001259 34.6994652, 135.5003003 34.6990302, 135.5003647 34.6988696, 135.5004348 34.6986924)",,
365926480,365926484,0,32538147,False,法界寺筋,unclassified,False,53.64489783377928,,"LINESTRING (135.5027672 34.699612, 135.5027287 34.7000934)",,
365926480,1893377763,0,1101424858,True,寺町通,unclassified,False,65.31583354644103,,"LINESTRING (135.5027672 34.699612, 135.5034801 34.6996509)",,
365926484,1666930353,0,32538147,False,法界寺筋,unclassified,False,25.443352551265168,,"LINESTRING (135.5027287 34.7000934, 135.5027119 34.7003218)",,
365926484,365926480,0,32538147,False,法界寺筋,unclassified,True,53.64489783377928,,"LINESTRING (135.5027287 34.7000934, 135.5027672 34.699612)",,
365926484,365926506,0,1024492696,False,,unclassified,True,42.16252282560212,,"LINESTRING (135.5027287 34.7000934, 135.5031886 34.7001219)",,
365926491,1666930353,0,32538147,False,法界寺筋,unclassified,True,32.30935695193334,,"LINESTRING (135.5026942 34.700612, 135.5027119 34.7003218)",,
365926491,365926499,0,32538148,True,兎我野町通,unclassified,False,35.4414567103639,,"LINESTRING (135.5026942 34.700612, 135.5030817 34.7006219)",,
365926491,1914913104,0,32538147,False,法界寺筋,unclassified,False,67.7671499635282,,"LINESTRING (135.5026942 34.700612, 135.5026403 34.7007425, 135.5025917 34.7008226, 135.5024404 34.7011839)",,
365926499,1893377818,0,32538148,True,兎我野町通,unclassified,False,76.94566842045633,,"LINESTRING (135.5030817 34.7006219, 135.5039214 34.7006695)",,
365926499,365926506,0,32538149,True,神明筋,unclassified,False,56.44988918612033,,"LINESTRING (135.5030817 34.7006219, 135.5031886 34.7001219)",,
365926506,1893377763,0,32538149,True,神明筋,unclassified,False,58.762753551904716,,"LINESTRING (135.5031886 34.7001219, 135.5034801 34.6996509)",,
365926506,365926484,0,1024492696,False,,unclassified,False,42.16252282560212,,"LINESTRING (135.5031886 34.7001219, 135.5027287 34.7000934)",,
365926508,1894129862,0,180184417,False,圓頓寺筋,tertiary,True,36.94098317767679,,"LINESTRING (135.5028634 34.7017177, 135.502461 34.7016873)",,
365926508,1906135086,0,601741986,False,圓頓寺筋,unclassified,False,77.7536497489683,,"LINESTRING (135.5028634 34.7017177, 135.5037101 34.7017841)",,
365926508,683899875,0,162185077,False,神明筋,unclassified,False,51.5215068560351,,"LINESTRING (135.5028634 34.7017177, 135.5028281 34.7020149, 135.5028222 34.7020646, 135.5028578 34.7021756)",,
367429369,1918391019,0,"[172170221, 172170253]",True,長柄出口,motorway_link,False,380.89329856763334,1,"LINESTRING (135.5144119 34.7048547, 135.5144903 34.7049907, 135.5145777 34.7050864, 135.514677 34.7051811, 135.5149518 34.7054315, 135.5152232 34.7056651, 135.5154297 34.7058396, 135.5155924 34.705973, 135.5156498 34.7060288, 135.5157075 34.7060922, 135.5157784 34.7061822, 135.5158166 34.7062506, 135.5158468 34.706325, 135.5158681 34.7064077, 135.5158777 34.7064766, 135.515881 34.7065251, 135.51588 34.7065728, 135.5158771 34.7066225, 135.5158663 34.7067128, 135.5157161 34.7076571, 135.5157008 34.7078381)",,
372158761,1868090587,0,1079643500,False,,unclassified,False,12.323030354006695,,"LINESTRING (135.4873384 34.7016582, 135.4872036 34.7016578)",,
372158761,2598088590,0,878031344,True,大阪伊丹線,primary,False,58.41890748519576,3,"LINESTRING (135.4873384 34.7016582, 135.4873326 34.7015538, 135.4873061 34.7011335)",,
372159018,2349293051,0,659835619,False,,tertiary,True,68.33724737509137,,"LINESTRING (135.4904851 34.709318, 135.48984 34.7090074)",,
372159018,2349293050,0,1073769322,False,,tertiary,True,42.48211690491264,,"LINESTRING (135.4904851 34.709318, 135.490532 34.7089379)",,
372159018,1958419009,0,228458248,False,,unclassified,False,67.16017069033582,,"LINESTRING (135.4904851 34.709318, 135.4905445 34.7093234, 135.4911884 34.7094898)",,
372159018,2458680276,0,"[465321937, 1073769322]",False,,tertiary,False,112.02982034208613,,"LINESTRING (135.4904851 34.709318, 135.4904144 34.7098339, 135.4903997 34.7099094, 135.4903624 34.7099922, 135.4903322 34.7100901, 135.4902874 34.710276, 135.4902782 34.7103082)",,
372159037,2317855386,0,1010509054,False,,tertiary,False,10.980341931788972,,"LINESTRING (135.4907415 34.7083627, 135.4906918 34.7084526)",,
372159037,1688075141,0,"[1073769323, 156577652]",False,国道176号,trunk,False,26.553639828573296,4,"LINESTRING (135.4907415 34.7083627, 135.4908969 34.7084073, 135.4910152 34.7084427)",,
372159037,2419790897,0,156577665,True,十三バイパス,trunk,False,46.341729864453924,1,"LINESTRING (135.4907415 34.7083627, 135.4906173 34.7082576, 135.490311 34.7081595)",,
372159037,941389559,0,690970193,False,,tertiary,False,99.95569309091596,2,"LINESTRING (135.4907415 34.7083627, 135.4907956 34.7081998, 135.4909591 34.7076024, 135.490969 34.7075457, 135.4909741 34.7074854)",,
372159037,1688075140,0,1474188499,False,,unclassified,False,75.81110934667184,,"LINESTRING (135.4907415 34.7083627, 135.4909495 34.7082917, 135.4912421 34.708382, 135.4915322 34.7084063)",,
372159069,941389549,0,690970193,False,,tertiary,True,61.684245098909386,2,"LINESTRING (135.4910835 34.706393, 135.4910286 34.7069459)",,
372159069,941389552,0,162186566,False,,tertiary,True,78.20092780009072,,"LINESTRING (135.4910835 34.706393, 135.4911492 34.7063979, 135.4918809 34.7064599, 135.4919286 34.7064392)",,
372159069,372159087,0,690970193,False,,tertiary,False,95.6011270423609,2,"LINESTRING (135.4910835 34.706393, 135.4910961 34.7062647, 135.4911562 34.7056693, 135.49116 34.7056262, 135.4911687 34.7055361)",,
372159087,941389552,0,156577664,False,,tertiary,True,125.46563270671881,2,"LINESTRING (135.4911687 34.7055361, 135.4912477 34.7055443, 135.4912748 34.7055533, 135.491291 34.7055628, 135.4913073 34.7055753, 135.4913204 34.7055876, 135.4913324 34.7055987, 135.4919286 34.7064392)",,
372159087,1868090615,0,690970193,False,,tertiary,False,170.5122993585487,2,"LINESTRING (135.4911687 34.7055361, 135.4911812 34.7054097, 135.4911803 34.7053476, 135.4911309 34.7049489, 135.491059 34.7044036, 135.4909598 34.7041342, 135.4909575 34.704125, 135.4909147 34.7040267)",,
372159087,372159069,0,690970193,False,,tertiary,True,95.6011270423609,2,"LINESTRING (135.4911687 34.7055361, 135.49116 34.7056262, 135.4911562 34.7056693, 135.4910961 34.7062647, 135.4910835 34.706393)",,
372159368,372159383,0,"[672496650, 672496654, 172345663]",True,国道176号,trunk,False,106.02120888920271,"['4', '2']","LINESTRING (135.4930231 34.7095305, 135.4933498 34.7094959, 135.4935977 34.7094381, 135.4940998 34.7093203, 135.4941484 34.7093086)",,
372159368,372159413,0,"[672496643, 672496646, 1165359594, 1165359595, 154964083]",False,国道176号,trunk,False,390.36986737509545,5,"LINESTRING (135.4930231 34.7095305, 135.4927185 34.7096071, 135.4926762 34.7096177, 135.4923495 34.7096887, 135.4922105 34.7097187, 135.49053 34.7100731, 135.4904338 34.7100985, 135.4903231 34.7101304, 135.4901598 34.7101866, 135.4898523 34.7102976, 135.4897702 34.7103268, 135.4895933 34.7103909, 135.4895178 34.7104183, 135.4894217 34.7104518, 135.4893357 34.7104842, 135.4892236 34.7105338, 135.4891639 34.7105641, 135.4891042 34.7105997, 135.4890607 34.7106418, 135.4890308 34.7106821)",,
372159368,9869231966,0,1076207875,False,国道176号,trunk,True,177.57358644860835,4,"LINESTRING (135.4930231 34.7095305, 135.4928079 34.7093946, 135.4925206 34.7092329, 135.4914326 34.708614)",,
372159383,5822714332,0,"[244161762, 154964085]",True,"['国道176号', '国道176号線']",trunk_link,False,204.03166822306775,3,"LINESTRING (135.4941484 34.7093086, 135.4943254 34.7093154, 135.4945513 34.7092626, 135.4948522 34.7091861, 135.4951517 34.7091041, 135.4957036 34.7089327, 135.4958265 34.7088928, 135.495921 34.7088823, 135.4960011 34.7088899, 135.4961589 34.7089211, 135.4962817 34.7089536)",,
372159383,6796335858,0,"[172345653, 172345662, 672496655]",True,国道176号,trunk,False,541.660023397703,2,"LINESTRING (135.4941484 34.7093086, 135.4942895 34.7092405, 135.4944847 34.7091897, 135.4948902 34.7090814, 135.4954107 34.7089127, 135.4957881 34.708797, 135.4959284 34.7087524, 135.4961714 34.7086517, 135.4962954 34.7085589, 135.4963648 34.7084886, 135.4964219 34.7084099, 135.4964779 34.7083081, 135.4965053 34.7082306, 135.4965287 34.7081437, 135.4966708 34.7074398, 135.4967825 34.7068815, 135.4969764 34.7060072, 135.4970601 34.7057049)",,
372159413,941389563,0,"[172345674, 1028091730]",False,大阪伊丹線,primary,True,250.10337577527167,5,"LINESTRING (135.4890308 34.7106821, 135.4889209 34.7104927, 135.4887612 34.7102208, 135.4886531 34.7100352, 135.4880661 34.7089891, 135.4879853 34.7088376, 135.4878707 34.7086452)",,
372159413,4616239339,0,"[609049864, 172345718, 609049863]",False,国道176号,trunk,"[False, True]",117.57158094077235,"['5', '2']","LINESTRING (135.4890308 34.7106821, 135.4889307 34.7108183, 135.4886065 34.711213, 135.4885471 34.7112776, 135.4883508 34.7115106, 135.4883107 34.7115578)",,
372159413,2458680276,0,"[238008734, 465321935]",True,,unclassified,False,128.17583103386752,,"LINESTRING (135.4890308 34.7106821, 135.4891541 34.7107424, 135.4891947 34.7107539, 135.4892488 34.7107199, 135.4893747 34.7106441, 135.4894546 34.7106115, 135.4902038 34.710334, 135.4902782 34.7103082)",,
372159413,372159368,0,"[672496643, 672496646, 1165359594, 1165359595, 154964083]",False,国道176号,trunk,True,390.3698673750954,5,"LINESTRING (135.4890308 34.7106821, 135.4890607 34.7106418, 135.4891042 34.7105997, 135.4891639 34.7105641, 135.4892236 34.7105338, 135.4893357 34.7104842, 135.4894217 34.7104518, 135.4895178 34.7104183, 135.4895933 34.7103909, 135.4897702 34.7103268, 135.4898523 34.7102976, 135.4901598 34.7101866, 135.4903231 34.7101304, 135.4904338 34.7100985, 135.49053 34.7100731, 135.4922105 34.7097187, 135.4923495 34.7096887, 135.4926762 34.7096177, 135.4927185 34.7096071, 135.4930231 34.7095305)",,
411304718,432073372,0,"[126103572, 126103573, 37122535]",True,阪神高速,motorway_link,False,418.3260192371927,1,"LINESTRING (135.4821661 34.685551, 135.4823535 34.6855392, 135.4823916 34.6855259, 135.4824194 34.6855056, 135.4824541 34.6854751, 135.4824832 34.6854377, 135.4825067 34.68538, 135.4826329 34.6849927, 135.4826632 34.6849089, 135.4826949 34.6848408, 135.4827339 34.6847896, 135.4827746 34.6847477, 135.4828379 34.6847099, 135.4828973 34.6846845, 135.4829688 34.6846735, 135.4830354 34.6846746, 135.4831036 34.6846846, 135.4831704 34.6847074, 135.4832725 34.6847573, 135.483615 34.6850061, 135.4837665 34.6851244, 135.4838041 34.6851563, 135.4838367 34.6851942, 135.4838625 34.6852296, 135.4838873 34.6852741, 135.4838986 34.6853079, 135.4839064 34.685326, 135.4839108 34.6853596, 135.4839106 34.685425, 135.4838997 34.6854783, 135.4838761 34.6855265, 135.4838374 34.6855861, 135.4837944 34.6856394, 135.4837794 34.6856535, 135.4835703 34.6858531, 135.4832433 34.6861187, 135.4828512 34.6864913)",,
411304718,2045693475,0,148650717,False,中之島通,tertiary,False,34.28076388084608,4,"LINESTRING (135.4821661 34.685551, 135.4822337 34.6856586, 135.4822805 34.6857358, 135.4823386 34.6858247)",,
411686224,6673660295,0,709891321,True,市道九条梅田線,primary,False,85.38958438244806,2,"LINESTRING (135.4831226 34.6998291, 135.4833261 34.6999265, 135.4839721 34.7001451)",,
411686224,1868090584,0,"[709891323, 1164611511]",False,,tertiary,False,142.1197247834625,2,"LINESTRING (135.4831226 34.6998291, 135.4829976 34.699875, 135.4823074 34.7001589, 135.4817318 34.7003999)",,
411686259,12463425621,0,1347675243,True,市道九条梅田線,primary,False,12.52212952405266,,"LINESTRING (135.4939592 34.7024397, 135.4938396 34.7023848)",,
411686259,9849723058,0,"[87365328, 485150924, 1011009036]",True,市道梅田線,tertiary,False,191.29487254512512,"['4', '3']","LINESTRING (135.4939592 34.7024397, 135.4940357 34.702303, 135.4946643 34.7014718, 135.4947133 34.7014073, 135.4947477 34.7013611, 135.4948676 34.7012068, 135.4949976 34.7010327, 135.4950437 34.7009697)",,
