station_key,name,station_uid_count,osm_id_count,station_uids,osm_ids,refs,names_local,operators,networks,railway_tags,public_transport_tags,lat_mean,lon_mean,merged_station_id
wikidata::Q1131039,Tamatsukuri,2,2,node::538721634 | node::7948033312,node/538721634 | node/7948033312,N19,玉造,Osaka Metro,,stop,stop_position,34.6746126,135.53047370000002,merge::wikidata::Q1131039
wikidata::Q1131146,Morinomiya,4,4,node::537521123 | node::538721697 | node::7944112719 | node::7948033332,node/537521123 | node/538721697 | node/7944112719 | node/7948033332,C19 | N20,森ノ宮,Osaka Metro,,stop,stop_position,34.681835050000004,135.532708825,merge::wikidata::Q1131146
wikidata::Q1131158,Taisho,2,2,node::538721423 | node::7948033416,node/538721423 | node/7948033416,N11,大正,Osaka Metro,,stop,stop_position,34.6655186,135.47858005,merge::wikidata::Q1131158
wikidata::Q1131699,Midoribashi,4,4,node::537521131 | node::538724124 | node::7944112708 | node::12508256182,node/537521131 | node/538724124 | node/7944112708 | node/12508256182,C20 | I20,緑橋,Osaka Metro,,stop,stop_position,34.681049575,135.54517892500002,merge::wikidata::Q1131699
wikidata::Q1131709,Tanimachi 4-chome,4,4,node::536381552 | node::537521116 | node::7944112730 | node::8256784555,node/536381552 | node/537521116 | node/7944112730 | node/8256784555,T23 | C18,谷町四丁目,Osaka Metro,,stop,stop_position,34.6819039,135.5173914,merge::wikidata::Q1131709
wikidata::Q1131721,Yodoyabashi,2,2,node::5732164218 | node::7811945063,node/5732164218 | node/7811945063,M17,淀屋橋,Osaka Metro,,stop,stop_position,34.6916371,135.5009538,merge::wikidata::Q1131721
wikidata::Q1132328,Tennoji,2,2,node::536381139 | node::8256784526,node/536381139 | node/8256784526,T27,天王寺,Osaka Metro,,stop,stop_position,34.64943035,135.5135388,merge::wikidata::Q1132328
wikidata::Q1132633,Kujō,2,2,node::537520917 | node::1457300465,node/537520917 | node/1457300465,C14,九条,Osaka Metro,,stop,stop_position,34.675305699999996,135.47353465,merge::wikidata::Q1132633
wikidata::Q1134468,Awaza,2,2,node::537520958 | node::7944112747,node/537520958 | node/7944112747,C15,阿波座,Osaka Metro,,stop,stop_position,34.68135865,135.48809305,merge::wikidata::Q1134468
wikidata::Q1134631,Hommachi,6,6,node::537520970 | node::5730564865 | node::5730565139 | node::7811945066 | node::7893338347 | node::7944112740,node/537520970 | node/5730564865 | node/5730565139 | node/7811945066 | node/7893338347 | node/7944112740,C16 | Y13 | M18,本町,Osaka Metro,,stop,stop_position,34.6827773,135.49876273333334,merge::wikidata::Q1134631
