merged_station_id,station_key,name,name_local,station_uid,osm_id,ref,wikidata,operator,network,railway,public_transport,lat,lon
merge::wikidata::Q1131709,wikidata::Q1131709,Tanimachi 4-chome,谷町四丁目,node::8256784555,node/8256784555,T23,Q1131709,Osaka Metro,,stop,stop_position,34.6823578,135.5172881
merge::wikidata::Q1131721,wikidata::Q1131721,Yodoyabashi,淀屋橋,node::5732164218,node/5732164218,M17,Q1131721,Osaka Metro,,stop,stop_position,34.6916363,135.5009259
merge::wikidata::Q1131721,wikidata::Q1131721,Yodoyabashi,淀屋橋,node::7811945063,node/7811945063,M17,Q1131721,Osaka Metro,,stop,stop_position,34.6916379,135.5009817
merge::wikidata::Q1132328,wikidata::Q1132328,Tennoji,天王寺,node::536381139,node/536381139,T27,Q1132328,Osaka Metro,,stop,stop_position,34.6494263,135.5135657
merge::wikidata::Q1132328,wikidata::Q1132328,Tennoji,天王寺,node::8256784526,node/8256784526,T27,Q1132328,Osaka Metro,,stop,stop_position,34.6494344,135.5135119
merge::wikidata::Q1132633,wikidata::Q1132633,Kujō,九条,node::1457300465,node/1457300465,C14,Q1132633,Osaka Metro,,stop,stop_position,34.6752934,135.4735453
merge::wikidata::Q1132633,wikidata::Q1132633,Kujō,九条,node::537520917,node/537520917,C14,Q1132633,Osaka Metro,,stop,stop_position,34.675318,135.473524
merge::wikidata::Q1134468,wikidata::Q1134468,Awaza,阿波座,node::537520958,node/537520958,C15,Q1134468,Osaka Metro,,stop,stop_position,34.6813385,135.4880951
merge::wikidata::Q1134468,wikidata::Q1134468,Awaza,阿波座,node::7944112747,node/7944112747,C15,Q1134468,Osaka Metro,,stop,stop_position,34.6813788,135.488091
merge::wikidata::Q1134631,wikidata::Q1134631,Hommachi,本町,node::537520970,node/537520970,C16,Q1134631,Osaka Metro,,stop,stop_position,34.681998,135.4987211
merge::wikidata::Q1134631,wikidata::Q1134631,Hommachi,本町,node::5730564865,node/5730564865,Y13,Q1134631,Osaka Metro,,stop,stop_position,34.6827698,135.4969235
