merged_station_id,station_key,name,names_local,refs,station_uid_count,osm_id_count,operators,networks,railway_tags,public_transport_tags,lat_mean,lon_mean,station_uids,osm_ids
merge::wikidata::Q1041977,wikidata::Q1041977,Tanimachi 9-chome,谷町九丁目,T25,2,2,Osaka Metro,,stop,stop_position,34.6670844,135.51584014999997,node::536381546 | node::8256784543,node/536381546 | node/8256784543
merge::wikidata::Q1042492,wikidata::Q1042492,Gamo 4-chome,蒲生四丁目,N23 | I18,4,4,Osaka Metro,,stop,stop_position,34.700762350000005,135.547388,node::538721772 | node::538724159 | node::7948033368 | node::12508256200,node/538721772 | node/538724159 | node/7948033368 | node/12508256200
merge::wikidata::Q1042508,wikidata::Q1042508,Taishibashi-Imaichi,太子橋今市,I14 | T13,4,4,Osaka Metro,,stop,stop_position,34.73125745,135.555463925,node::538724478 | node::549722947 | node::8256784363 | node::12508282347,node/538724478 | node/549722947 | node/8256784363 | node/12508282347
merge::wikidata::Q1042837,wikidata::Q1042837,Kitahama,北浜,,2,2,,,stop,stop_position,34.6911726,135.5065798,node::538718386 | node::8260808114,node/538718386 | node/8260808114
merge::wikidata::Q1043084,wikidata::Q1043084,Temmabashi,天満橋,T22,2,2,Osaka Metro,,stop,stop_position,34.68972035,135.51727435,node::536381568 | node::8256784561,node/536381568 | node/8256784561
merge::wikidata::Q1074425,wikidata::Q1074425,Sakaisuji-Hommachi,堺筋本町,C17 | K15,4,4,Osaka Metro,,stop,stop_position,34.682246975,135.50669595,node::537521118 | node::538718337 | node::7944112736 | node::8260808109,node/537521118 | node/538718337 | node/7944112736 | node/8260808109
merge::wikidata::Q1074440,wikidata::Q1074440,Shinsaibashi,心斎橋,N15,2,2,Osaka Metro,,stop,stop_position,34.67535615,135.49920120000002,node::538721475 | node::7948009777,node/538721475 | node/7948009777
merge::wikidata::Q112719,wikidata::Q112719,Nishiohashi,西大橋,N14,2,2,Osaka Metro,,stop,stop_position,34.67549775,135.49447329999998,node::538721479 | node::7948009772,node/538721479 | node/7948009772
merge::wikidata::Q1131017,wikidata::Q1131017,Bentencho,弁天町,C13,2,2,Osaka Metro,,stop,stop_position,34.6684181,135.46209340000001,node::537520788 | node::7756610829,node/537520788 | node/7756610829
merge::wikidata::Q1131039,wikidata::Q1131039,Tamatsukuri,玉造,N19,2,2,Osaka Metro,,stop,stop_position,34.6746126,135.53047370000002,node::538721634 | node::7948033312,node/538721634 | node/7948033312
merge::wikidata::Q1131146,wikidata::Q1131146,Morinomiya,森ノ宮,C19 | N20,4,4,Osaka Metro,,stop,stop_position,34.681835050000004,135.532708825,node::537521123 | node::538721697 | node::7944112719 | node::7948033332,node/537521123 | node/538721697 | node/7944112719 | node/7948033332
merge::wikidata::Q1131158,wikidata::Q1131158,Taisho,大正,N11,2,2,Osaka Metro,,stop,stop_position,34.6655186,135.47858005,node::538721423 | node::7948033416,node/538721423 | node/7948033416
merge::wikidata::Q1131699,wikidata::Q1131699,Midoribashi,緑橋,C20 | I20,4,4,Osaka Metro,,stop,stop_position,34.681049575,135.54517892500002,node::537521131 | node::538724124 | node::7944112708 | node::12508256182,node/537521131 | node/538724124 | node/7944112708 | node/12508256182
merge::wikidata::Q1131709,wikidata::Q1131709,Tanimachi 4-chome,谷町四丁目,T23 | C18,4,4,Osaka Metro,,stop,stop_position,34.6819039,135.5173914,node::536381552 | node::537521116 | node::7944112730 | node::8256784555,node/536381552 | node/537521116 | node/7944112730 | node/8256784555
merge::wikidata::Q1131721,wikidata::Q1131721,Yodoyabashi,淀屋橋,M17,2,2,Osaka Metro,,stop,stop_position,34.6916371,135.5009538,node::5732164218 | node::7811945063,node/5732164218 | node/7811945063
merge::wikidata::Q1132328,wikidata::Q1132328,Tennoji,天王寺,T27,2,2,Osaka Metro,,stop,stop_position,34.64943035,135.5135388,node::536381139 | node::8256784526,node/536381139 | node/8256784526
merge::wikidata::Q1132633,wikidata::Q1132633,Kujō,九条,C14,2,2,Osaka Metro,,stop,stop_position,34.675305699999996,135.47353465,node::537520917 | node::1457300465,node/537520917 | node/1457300465
merge::wikidata::Q1134468,wikidata::Q1134468,Awaza,阿波座,C15,2,2,Osaka Metro,,stop,stop_position,34.68135865,135.48809305,node::537520958 | node::7944112747,node/537520958 | node/7944112747
merge::wikidata::Q1134631,wikidata::Q1134631,Hommachi,本町,C16 | Y13 | M18,6,6,Osaka Metro,,stop,stop_position,34.6827773,135.49876273333334,node::537520970 | node::5730564865 | node::5730565139 | node::7811945066 | node::7893338347 | node::7944112740,node/537520970 | node/5730564865 | node/5730565139 | node/7811945066 | node/7893338347 | node/7944112740
merge::wikidata::Q1136561,wikidata::Q1136561,Higashi-Mikuni,東三国,M12,2,2,,,stop,stop_position,34.74114865,135.49850550000002,node::534123237 | node::7811945110,node/534123237 | node/7811945110
merge::wikidata::Q1136734,wikidata::Q1136734,Cosmo Square,コスモスクエア,P09 | C10,4,4,Osaka Metro,Osaka Metro,stop,stop_position,34.642601875,135.412205425,node::346493042 | node::6621493574 | node::6621530408 | node::6621530410,node/346493042 | node/6621493574 | node/6621530408 | node/6621530410
merge::wikidata::Q1136738,wikidata::Q1136738,Nishinakajima-Minamigata,西中島南方,M14,2,2,Osaka Metro,,stop,stop_position,34.726637,135.49859645,node::534123171 | node::7811929015,node/534123171 | node/7811929015
merge::wikidata::Q1143934,wikidata::Q1143934,Tenjinbashisuji 6-chome,天神橋筋六丁目,T18,4,4,Osaka Metro,,stop,stop_position,34.710234325,135.511316125,node::536381799 | node::4451435044 | node::8256784378 | node::8260835845,node/536381799 | node/4451435044 | node/8256784378 | node/8260835845
merge::wikidata::Q123033953,wikidata::Q123033953,Kyobashi,京橋,N22,2,2,Osaka Metro,,stop,stop_position,34.69756285,135.53052100000002,node::538721743 | node::7948033352,node/538721743 | node/7948033352
merge::wikidata::Q125822,wikidata::Q125822,Tamade,玉出,Y19,2,2,Osaka Metro,,stop,stop_position,34.62378025,135.49040975,node::537509992 | node::8005451576,node/537509992 | node/8005451576
merge::wikidata::Q126023,wikidata::Q126023,Nishi-Umeda,西梅田,Y11,2,2,Osaka Metro,,stop,stop_position,34.6994833,135.49564875,node::537510157 | node::7893338376,node/537510157 | node/7893338376
merge::wikidata::Q126027,wikidata::Q126027,Takaida,高井田,C22,2,2,Osaka Metro,,stop,stop_position,34.6783801,135.5719241,node::537521160 | node::7944112692,node/537521160 | node/7944112692
merge::wikidata::Q126032,wikidata::Q126032,Fukaebashi,深江橋,C21,2,2,Osaka Metro,,stop,stop_position,34.67911155,135.5574528,node::537521143 | node::7944112703,node/537521143 | node/7944112703
merge::wikidata::Q126046,wikidata::Q126046,Suminoekoen,住之江公園,P18 | Y21,3,3,Osaka Metro,,stop,stop_position,34.60891603333334,135.47271063333332,node::346493842 | node::537509926 | node::8005451543,node/346493842 | node/537509926 | node/8005451543
merge::wikidata::Q126064,wikidata::Q126064,Nagata,長田,C23,2,2,Osaka Metro,,stop,stop_position,34.678758599999995,135.5910601,node::537521167 | node::7944112751,node/537521167 | node/7944112751
merge::wikidata::Q126080,wikidata::Q126080,Matsuyamachi,松屋町,N17,2,2,Osaka Metro,,stop,stop_position,34.6754175,135.51222330000002,node::538721499 | node::7948033289,node/538721499 | node/7948033289
merge::wikidata::Q126082,wikidata::Q126082,Kishinosato,岸里,Y18,2,2,Osaka Metro,,stop,stop_position,34.6344147,135.49386155000002,node::537510029 | node::8005455785,node/537510029 | node/8005455785
merge::wikidata::Q126102,wikidata::Q126102,Hanazonocho,花園町,Y17,2,2,Osaka Metro,,stop,stop_position,34.64428855,135.4965764,node::537509994 | node::8005455792,node/537509994 | node/8005455792
merge::wikidata::Q126112,wikidata::Q126112,Minami-Tatsumi,南巽,S24,2,2,,,stop,stop_position,34.642497950000006,135.55311035,node::538715734 | node::12731312903,node/538715734 | node/12731312903
merge::wikidata::Q126335,wikidata::Q126335,Kitakagaya,北加賀屋,Y20,2,2,Osaka Metro,,stop,stop_position,34.621309,135.47941394999998,node::537509959 | node::8005451562,node/537509959 | node/8005451562
merge::wikidata::Q126343,wikidata::Q126343,Higobashi,肥後橋,Y12,2,2,Osaka Metro,,stop,stop_position,34.6914974,135.4963383,node::537510155 | node::7893338367,node/537510155 | node/7893338367
merge::wikidata::Q135181,wikidata::Q135181,Tsurumi-ryokuchi,鶴見緑地,N26,2,2,Osaka Metro,,stop,stop_position,34.71094555,135.5806579,node::538722148 | node::7948033401,node/538722148 | node/7948033401
merge::wikidata::Q135184,wikidata::Q135184,Hirano,平野,T32,2,2,Osaka Metro,,stop,stop_position,34.6212724,135.54857275,node::536380901 | node::8256784466,node/536380901 | node/8256784466
merge::wikidata::Q135186,wikidata::Q135186,Yokozutsumi,横堤,N25,2,2,Osaka Metro,,stop,stop_position,34.70363255,135.5734138,node::538722089 | node::7948033386,node/538722089 | node/7948033386
merge::wikidata::Q135196,wikidata::Q135196,Abeno,阿倍野,T28,2,2,Osaka Metro,,stop,stop_position,34.64248765,135.51199145,node::536381110 | node::8256784521,node/536381110 | node/8256784521
merge::wikidata::Q135198,wikidata::Q135198,Komagawa-Nakano,駒川中野,T31,2,2,Osaka Metro,,stop,stop_position,34.62164865,135.53250545,node::536380877 | node::8256784487,node/536380877 | node/8256784487
merge::wikidata::Q135203,wikidata::Q135203,Tanabe,田辺,T30,2,2,Osaka Metro,,stop,stop_position,34.628787450000004,135.5250095,node::536380863 | node::8256784498,node/536380863 | node/8256784498
